store,sku,amount
Naivasha,DM1759,8416 KSH
Nakuru,DM1786,9134 KSH
Nakuru,DM1724,2719 KSH
Nakuru,DM1537,1590 KSH
Mombasa,DM1537,4482 KSH
Mombasa,DM1230,3565 KSH
Nairobi,DM1230,6619 KSH
Nairobi,DM1210,4901 KSH
Mombasa,DM1786,5013 KSH
Mombasa,DM1873,2435 KSH
Naivasha,DM1230,2830 KSH
Nairobi,DM1210,2504 KSH
Mombasa,DM1724,7138 KSH
Nashua,DM1182,2613 KSH
Nashua,DM1537,5995 KSH
Mombasa,DM1724,6546 KSH
Nashua,DM1724,3809 KSH
Nairobi,DM1537,1642 KSH
Nairobi,DM1724,4465 KSH
Nairobi,DM1537,7498 KSH
Malindi,DM1182,8946 KSH
Mombasa,DM1182,2972 KSH
Malindi,DM1541,1568 KSH
Naivasha,DM1230,1142 KSH
Nakuru,DM1210,4437 KSH
Nashua,DM1541,9526 KSH
Malindi,DM1873,9418 KSH
Mombasa,DM1182,7162 KSH
Naivasha,DM1294,6851 KSH
Naivasha,DM1182,4708 KSH
Naivasha,DM1541,4013 KSH
Nashua,DM1210,9748 KSH
Malindi,DM1210,1991 KSH
Naivasha,DM1873,2606 KSH
Mombasa,DM1537,2250 KSH
Mombasa,DM1786,4882 KSH
Malindi,DM1541,6341 KSH
Naivasha,DM1537,4324 KSH
Nakuru,DM1294,8286 KSH
Nakuru,DM1724,6622 KSH
Nashua,DM1759,9391 KSH
Nairobi,DM1210,1127 KSH
Mombasa,DM1759,5727 KSH
Nakuru,DM1294,8458 KSH
Malindi,DM1182,4804 KSH
Mombasa,DM1210,9311 KSH
Mombasa,DM1786,8267 KSH
Malindi,DM1873,9089 KSH
Mombasa,DM1230,9673 KSH
Nairobi,DM1541,1783 KSH
Nakuru,DM1537,3749 KSH
Mombasa,DM1759,5173 KSH
Naivasha,DM1210,2151 KSH
Nairobi,DM1786,3580 KSH
Nashua,DM1759,9437 KSH
Naivasha,DM1759,3013 KSH
Nashua,DM1724,1742 KSH
Nairobi,DM1294,6178 KSH
Nairobi,DM1210,6310 KSH
Nairobi,DM1724,6623 KSH
Nakuru,DM1759,8142 KSH
Malindi,DM1294,6806 KSH
Mombasa,DM1873,1325 KSH
Nakuru,DM1759,8944 KSH
Malindi,DM1210,3325 KSH
Mombasa,DM1210,9511 KSH
Nashua,DM1294,1805 KSH
Nashua,DM1537,9328 KSH
Malindi,DM1210,7116 KSH
Malindi,DM1294,3061 KSH
Nairobi,DM1230,6634 KSH
Naivasha,DM1294,9790 KSH
Nairobi,DM1294,1392 KSH
Nakuru,DM1182,8689 KSH
Nairobi,DM1537,5561 KSH
Nashua,DM1786,3910 KSH
Nairobi,DM1182,2140 KSH
Nashua,DM1294,1748 KSH
Mombasa,DM1541,2104 KSH
Nashua,DM1210,6531 KSH
Mombasa,DM1541,6964 KSH
Naivasha,DM1230,3524 KSH
Malindi,DM1759,3412 KSH
Mombasa,DM1873,5291 KSH
Naivasha,DM1537,9902 KSH
Nairobi,DM1541,4107 KSH
Malindi,DM1537,3085 KSH
Naivasha,DM1182,8505 KSH
Nashua,DM1873,4657 KSH
Nashua,DM1210,2327 KSH
